moun	pop	blo	class	time	nail	pos	size		
bej	rui	B9	1	2	37	4	3.7		
bej	rui	B9	1	2	37	5	4.8		
bej	rui	B9	1	2	39	2	4.5		
bej	rui	B9	1	2	39	4	3.3		
bej	rui	B9	1	2	39	7	3.2		
bej	rui	B9	1	2	39	9	4.9		
bej	rui	B9	1	2	40	2	7.6		
bej	rui	B9	1	2	40	5	3.8		
bej	rui	B9	1	2	40	6	3.2		
bej	rui	B9	1	2	40	8	3.8		
bej	rui	B9	1	2	40	9	8.4		
bej	rui	B9	1	2	41	1	4.1		
bej	rui	B9	1	2	42	2	4.3		
bej	rui	B9	1	2	42	3	6.6		
bej	rui	B9	1	2	42	4	4.2		
bej	rui	B9	1	2	43	3	5.3		
bej	rui	B9	1	2	43	7	6		
bej	rui	B9	1	2	45	1	3.6		
bej	rui	B9	1	2	46	3	5.3		
bej	rui	B9	1	2	46	4	6.1		
bej	rui	B9	1	2	46	7	4.2		
bej	rui	B9	1	2	47	5	4.3		
bej	rui	B9	1	2	48	1	5.2		
bej	rui	B9	1	2	51	2	6.7		
bej	rui	B9	1	2	51	10	6.7		
bej	rui	B9	1	2	56	5	4.6		
bej	rui	B9	1	2	56	6	3.9		
bej	rui	B9	1	2	58	1	6.3		
bej	rui	B9	1	2	58	8	5.2		
bej	rui	B9	1	2	59	1	7.3		
bej	rui	B9	1	2	61	3	7.8		
bej	rui	B9	1	2	61	8	5.4		
bej	rui	B9	1	2	63	1	4.4		
bej	rui	B9	1	2	65	5	3.7		
bej	rui	B9	1	2	66	10	4.7		
bej	rui	B9	1	2	68	2	4.6		
bej	rui	B9	1	2	68	7	4.6		
bej	rui	B9	1	2	69	3	2.7		
bej	rui	B9	1	2	69	5	4.8		
bej	rui	B9	1	2	70	5	5.8		
bej	rui	B9	1	2	70	8	11.7		
bej	rui	B9	1	2	71	1	3.7		
bej	rui	B9	1	2	72	8	3.1		
bej	rui	B9	1	2	73	3	4.3		
bej	rui	B9	1	2	73	5	5.6		
bej	rui	B9	1	2	74	6	3.7		
bej	rui	B9	1	2	74	10	5.4		
bej	rui	B9	1	2	78	6	3.7		
bej	rui	B9	1	2	78	10	5.9		
bej	rui	B9	1	2	80	7	3		
bej	rui	B9	1	2	80	10	3.6		
bej	rui	B9	1	2	81	5	2.8		
bej	rui	B9	1	2	82	9	3		
bej	rui	B9	1	2	85	2	3.9		
bej	rui	B9	1	2	86	9	5		
bej	rui	B9	1	2	87	3	7.2		
bej	rui	B9	1	2	87	4	7		
bej	rui	B9	1	2	87	8	4.4		
bej	rui	B9	1	2	90	9	6.5		
bej	rui	B9	1	2	90	10	5		
bej	rui	B9	1	2	92	3	4.8		
bej	rui	B9	1	2	92	4	4.3		
bej	rui	B9	1	2	92	5	7.4		
bej	rui	B9	1	2	94	6	6.7		
bej	rui	B9	1	2	94	7	10.7		
bej	rui	B9	1	2	95	3	5.4		
bej	rui	B9	1	2	95	4	4.5		
bej	rui	B9	1	2	95	8	5		
bej	rui	B9	1	2	95	9	3.8		
bej	rui	B9	1	2	95	10	3.7		
bej	rui	B9	1	2	98	2	5.9		
bej	rui	B9	1	2	98	3	4.4		
bej	rui	B9	1	2	98	5	2.6		
bej	rui	B9	1	3	85	2	3.5		
bej	rui	B9	1	3	56	6	3.7		
bej	rui	B9	1	3	43	3	5.1		
bej	rui	B9	1	3	51	2	7.1		
bej	rui	B9	1	3	31	2	6.6		
bej	rui	B9	1	3	31	3	5.6		
bej	rui	B9	1	3	48	1	3		
bej	rui	B9	1	3	9	6	4.9		
bej	rui	B9	1	3	42	4	6		
bej	rui	B9	1	3	14	2	5.1		
bej	rui	B9	1	3	13	8	20.4		
bej	rui	B9	1	3	28	6	31.7		
bej	rui	B9	1	3	46	3	5.1		
bej	rui	B9	1	3	46	4	19		
bej	rui	B9	1	3	35	1	6.2		
